UF,Município, Limite de Gasto Prefeito 1º Turno , Limite de Gasto Prefeito 2º Turno , Limite de Gasto Vereador , Limite Contratação Prefeito , Limite Contratação Vereador , Eleitorado Apto 
AC,ACRELÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 506 
MA,AMARANTE DO MARANHÃO, R$ 153 065,39 , R$ -   , R$ 10 803,91 , 253 , 127 , 25 266 
MA,ANAJATUBA, R$ 108 039,06 , R$ -   , R$ 16 554,29 , 202 , 101 , 20 160 
MA,ANAPURUS, R$ 108 039,06 , R$ -   , R$ 25 555,51 , 124 , 62 , 12 374 
MA,APICUM-AÇU, R$ 222 399,20 , R$ -   , R$ 10 803,91 , 118 , 59 , 11 844 
MA,ARAGUANÃ, R$ 198 033,51 , R$ -   , R$ 10 803,91 , 79 , 40 , 7 910 
MA,ARAIOSES, R$ 308 064,50 , R$ -   , R$ 10 803,91 , 303 , 152 , 32 769 
MA,ARAME, R$ 193 342,50 , R$ -   , R$ 30 571,13 , 210 , 105 , 20 964 
MA,ARARI, R$ 408 402,32 , R$ -   , R$ 10 803,91 , 225 , 113 , 22 524 
MA,AXIXÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 101 , 51 , 10 145 
MA,BACABAL, R$ 298 890,91 , R$ -   , R$ 61 292,07 , 324 , 162 , 54 158 
MA,BACABEIRA, R$ 254 718,85 , R$ -   , R$ 10 803,91 , 134 , 67 , 13 400 
MA,BACURI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 137 , 69 , 13 737 
MA,BACURITUBA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 48 , 24 , 4 809 
MA,BALSAS, R$ 650 026,51 , R$ -   , R$ 41 572,99 , 323 , 162 , 52 861 
MA,BARÃO DE GRAJAÚ, R$ 145 284,29 , R$ -   , R$ 10 803,91 , 141 , 71 , 14 085 
MA,BARRA DO CORDA, R$ 222 178,15 , R$ -   , R$ 37 921,31 , 323 , 162 , 53 079 
MA,BARREIRINHAS, R$ 412 274,31 , R$ -   , R$ 21 863,27 , 313 , 157 , 42 817 
MA,BELA VISTA DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 94 , 47 , 9 394 
MA,BELÁGUA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 57 , 29 , 5 723 
MA,BENEDITO LEITE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 39 , 20 , 3 939 
MA,BEQUIMÃO, R$ 143 539,18 , R$ -   , R$ 19 762,15 , 170 , 85 , 16 976 
MA,BERNARDO DO MEARIM, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 53 , 27 , 5 260 
MA,BOA VISTA DO GURUPI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 52 , 26 , 5 234 
MA,BOM JARDIM, R$ 431 647,51 , R$ -   , R$ 10 803,91 , 273 , 137 , 27 305 
MA,BOM JESUS DAS SELVAS, R$ 567 427,19 , R$ -   , R$ 10 803,91 , 191 , 96 , 19 136 
MA,BOM LUGAR, R$ 185 717,04 , R$ -   , R$ 10 803,91 , 108 , 54 , 10 830 
MA,BREJO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 245 , 123 , 24 485 
MA,BREJO DE AREIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 69 , 35 , 6 928 
MA,BURITI, R$ 190 911,80 , R$ -   , R$ 19 363,28 , 209 , 105 , 20 921 
MA,BURITI BRAVO, R$ 192 237,64 , R$ -   , R$ 10 803,91 , 180 , 90 , 17 975 
MA,BURITICUPU, R$ 236 891,15 , R$ -   , R$ 92 031,74 , 312 , 156 , 41 510 
MA,BURITIRANA, R$ 150 769,75 , R$ -   , R$ 18 052,42 , 112 , 56 , 11 195 
MA,CACHOEIRA GRANDE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 78 , 39 , 7 820 
MA,CAJAPIÓ, R$ 108 039,06 , R$ -   , R$ 16 859,95 , 90 , 45 , 9 023 
MA,CAJARI, R$ 176 404,32 , R$ -   , R$ 10 803,91 , 140 , 70 , 14 028 
MA,CAMPESTRE DO MARANHÃO, R$ 248 246,21 , R$ -   , R$ 21 073,98 , 98 , 49 , 9 796 
MA,CÂNDIDO MENDES, R$ 180 190,36 , R$ -   , R$ 10 803,91 , 154 , 77 , 15 358 
MA,CANTANHEDE, R$ 235 365,67 , R$ -   , R$ 10 803,91 , 133 , 67 , 13 254 
MA,CAPINZAL DO NORTE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 86 , 43 , 8 616 
MA,CAROLINA, R$ 186 870,32 , R$ -   , R$ 10 803,91 , 178 , 89 , 17 830 
MA,CARUTAPERA, R$ 143 258,28 , R$ -   , R$ 10 803,91 , 167 , 84 , 16 691 
MA,CAXIAS, R$ 1 254 212,24 , R$ -   , R$ 98 419,28 , 360 , 180 , 90 328 
MA,CEDRAL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 87 , 44 , 8 692 
MA,CENTRAL DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 72 , 36 , 7 194 
MA,CENTRO DO GUILHERME, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 68 , 34 , 6 765 
MA,CENTRO NOVO DO MARANHÃO, R$ 143 773,27 , R$ -   , R$ 23 445,67 , 110 , 55 , 10 955 
MA,CHAPADINHA, R$ 1 072 464,70 , R$ -   , R$ 28 941,92 , 325 , 163 , 54 515 
MA,CIDELÂNDIA, R$ 108 039,06 , R$ -   , R$ 18 693,04 , 105 , 53 , 10 466 
MA,CODÓ, R$ 800 809,50 , R$ -   , R$ 96 268,63 , 336 , 168 , 65 598 
MA,COELHO NETO, R$ 523 220,45 , R$ -   , R$ 17 434,87 , 306 , 153 , 35 640 
MA,COLINAS, R$ 186 024,08 , R$ -   , R$ 10 803,91 , 281 , 141 , 28 055 
MA,CONCEIÇÃO DO LAGO-AÇU, R$ 146 180,57 , R$ -   , R$ 15 449,42 , 106 , 53 , 10 585 
MA,COROATÁ, R$ 1 508 737,16 , R$ -   , R$ 89 331,37 , 308 , 154 , 37 794 
MA,CURURUPU, R$ 214 445,31 , R$ -   , R$ 10 803,91 , 252 , 126 , 25 249 
MA,DAVINÓPOLIS, R$ 108 039,06 , R$ -   , R$ 17 097,36 , 117 , 59 , 11 726 
MA,DOM PEDRO, R$ 310 861,11 , R$ -   , R$ 10 803,91 , 182 , 91 , 18 162 
MA,DUQUE BACELAR, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 96 , 48 , 9 608 
MA,ESPERANTINÓPOLIS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 120 , 60 , 12 015 
MA,ESTREITO, R$ 409 388,24 , R$ -   , R$ 10 803,91 , 233 , 117 , 23 297 
MA,FEIRA NOVA DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 55 , 28 , 5 530 
MA,FERNANDO FALCÃO, R$ 108 039,06 , R$ -   , R$ 18 086,12 , 72 , 36 , 7 174 
MA,FORMOSA DA SERRA NEGRA, R$ 148 447,42 , R$ -   , R$ 10 803,91 , 121 , 61 , 12 137 
MA,FORTALEZA DOS NOGUEIRAS, R$ 456 669,41 , R$ -   , R$ 10 803,91 , 88 , 44 , 8 764 
MA,FORTUNA, R$ 142 334,13 , R$ -   , R$ 18 653,63 , 123 , 62 , 12 310 
MA,GODOFREDO VIANA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 84 , 42 , 8 376 
MA,GONÇALVES DIAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 129 , 65 , 12 944 
MA,GOVERNADOR ARCHER, R$ 108 039,06 , R$ -   , R$ 18 555,88 , 82 , 41 , 8 158 
MA,GOVERNADOR EDISON LOBÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 143 , 72 , 14 315 
MA,GOVERNADOR EUGÊNIO BARROS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 118 , 59 , 11 766 
MA,GOVERNADOR LUIZ ROCHA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 62 , 31 , 6 246 
MA,GOVERNADOR NEWTON BELLO, R$ 146 728,41 , R$ -   , R$ 10 803,91 , 80 , 40 , 8 044 
MA,GOVERNADOR NUNES FREIRE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 173 , 87 , 17 327 
MA,GRAÇA ARANHA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 57 , 29 , 5 732 
MA,GRAJAÚ, R$ 285 060,86 , R$ -   , R$ 21 990,15 , 317 , 159 , 47 309 
MA,GUIMARÃES, R$ 400 830,09 , R$ -   , R$ 22 286,44 , 105 , 53 , 10 470 
MA,HUMBERTO DE CAMPOS, R$ 172 486,53 , R$ -   , R$ 23 427,50 , 219 , 110 , 21 853 
MA,ICATU, R$ 200 795,68 , R$ -   , R$ 17 649,10 , 216 , 108 , 21 624 
MA,IGARAPÉ DO MEIO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 114 , 57 , 11 375 
MA,IGARAPÉ GRANDE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 83 , 42 , 8 345 
MA,IMPERATRIZ, R$ 1 355 242,39 , R$ -   , R$ 145 883,24 , 422 , 211 , 151 858 
MA,ITAIPAVA DO GRAJAÚ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 102 , 51 , 10 231 
MA,ITAPECURU MIRIM, R$ 314 399,50 , R$ -   , R$ 18 021,52 , 315 , 158 , 45 400 
MA,ITINGA DO MARANHÃO, R$ 502 344,11 , R$ -   , R$ 25 343,98 , 170 , 85 , 17 009 
MA,JATOBÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 742 
MA,JENIPAPO DOS VIEIRAS, R$ 158 991,35 , R$ -   , R$ 10 803,91 , 105 , 53 , 10 497 
MA,JOÃO LISBOA, R$ 153 328,55 , R$ -   , R$ 28 137,33 , 207 , 104 , 20 665 
MA,JOSELÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 121 , 61 , 12 104 
MA,JUNCO DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 370 
MA,LAGO DA PEDRA, R$ 438 020,15 , R$ -   , R$ 17 097,36 , 306 , 153 , 35 766 
MA,LAGO DO JUNCO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 83 , 42 , 8 331 
MA,LAGO DOS RODRIGUES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 79 , 40 , 7 909 
MA,LAGO VERDE, R$ 108 039,06 , R$ -   , R$ 16 668,52 , 122 , 61 , 12 162 
MA,LAGOA DO MATO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 83 , 42 , 8 262 
MA,LAGOA GRANDE DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 88 , 44 , 8 821 
MA,LAJEADO NOVO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 63 , 32 , 6 295 
MA,LIMA CAMPOS, R$ 334 269,33 , R$ -   , R$ 14 268,77 , 99 , 50 , 9 897 
MA,LORETO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 84 , 42 , 8 375 
MA,LUÍS DOMINGUES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 59 , 30 , 5 929 
MA,MAGALHÃES DE ALMEIDA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 129 , 65 , 12 908 
MA,MARACAÇUMÉ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 117 , 59 , 11 702 
MA,MARAJÁ DO SENA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 694 
MA,MARANHÃOZINHO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 75 , 38 , 7 493 
MA,MATA ROMA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 143 , 72 , 14 319 
MA,MATINHA, R$ 182 135,55 , R$ -   , R$ 10 803,91 , 158 , 79 , 15 805 
MA,MATÕES, R$ 171 140,73 , R$ -   , R$ 13 993,43 , 209 , 105 , 20 912 
MA,MATÕES DO NORTE, R$ 226 217,00 , R$ -   , R$ 10 803,91 , 73 , 37 , 7 304 
MA,MILAGRES DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 58 , 29 , 5 801 
MA,MIRADOR, R$ 108 039,06 , R$ -   , R$ 13 592,68 , 152 , 76 , 15 231 
MA,MIRANDA DO NORTE, R$ 307 922,91 , R$ -   , R$ 10 803,91 , 163 , 82 , 16 286 
MA,MIRINZAL, R$ 108 039,06 , R$ -   , R$ 14 224,70 , 114 , 57 , 11 448 
MA,MONÇÃO, R$ 179 100,66 , R$ -   , R$ 10 803,91 , 171 , 86 , 17 098 
MA,MONTES ALTOS, R$ 171 741,40 , R$ -   , R$ 10 803,91 , 76 , 38 , 7 590 
MA,MORROS, R$ 108 039,06 , R$ -   , R$ 17 090,81 , 147 , 74 , 14 736 
MA,NINA RODRIGUES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 92 , 46 , 9 236 
MA,NOVA COLINAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 40 , 20 , 3 996 
MA,NOVA IORQUE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 36 , 18 , 3 585 
MA,NOVA OLINDA DO MARANHÃO, R$ 215 676,95 , R$ -   , R$ 10 803,91 , 128 , 64 , 12 789 
MA,OLHO D'ÁGUA DAS CUNHÃS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 151 , 76 , 15 078 
MA,OLINDA NOVA DO MARANHÃO, R$ 139 168,01 , R$ -   , R$ 10 803,91 , 101 , 51 , 10 066 
MA,PAÇO DO LUMIAR, R$ 528 060,07 , R$ -   , R$ 78 021,52 , 329 , 165 , 58 698 
MA,PALMEIRÂNDIA, R$ 108 039,06 , R$ -   , R$ 14 404,95 , 164 , 82 , 16 385 
MA,PARAIBANO, R$ 108 039,06 , R$ -   , R$ 13 946,95 , 155 , 78 , 15 503 
MA,PARNARAMA, R$ 139 917,46 , R$ -   , R$ 18 185,38 , 267 , 134 , 26 665 
MA,PASSAGEM FRANCA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 135 , 68 , 13 486 
MA,PASTOS BONS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 124 , 62 , 12 392 
MA,PAULINO NEVES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 133 , 67 , 13 326 
MA,PAULO RAMOS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 132 , 66 , 13 224 
MA,PEDREIRAS, R$ 334 438,81 , R$ -   , R$ 24 977,69 , 298 , 149 , 29 845 
MA,PEDRO DO ROSÁRIO, R$ 429 917,98 , R$ -   , R$ 23 524,70 , 169 , 85 , 16 891 
MA,PENALVA, R$ 232 555,76 , R$ -   , R$ 27 943,79 , 262 , 131 , 26 247 
MA,PERI MIRIM, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 116 , 58 , 11 564 
MA,PERITORÓ, R$ 486 470,18 , R$ -   , R$ 10 803,91 , 134 , 67 , 13 367 
MA,PINDARÉ-MIRIM, R$ 533 944,68 , R$ -   , R$ 50 952,46 , 215 , 108 , 21 537 
MA,PINHEIRO, R$ 644 943,18 , R$ -   , R$ 22 003,72 , 326 , 163 , 56 388 
MA,PIO XII, R$ 187 740,92 , R$ -   , R$ 28 984,15 , 201 , 101 , 20 056 
MA,PIRAPEMAS, R$ 150 382,19 , R$ -   , R$ 18 940,06 , 134 , 67 , 13 436 
MA,POÇÃO DE PEDRAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 131 , 66 , 13 082 
MA,PORTO FRANCO, R$ 227 660,90 , R$ -   , R$ 10 803,91 , 187 , 94 , 18 749 
MA,PORTO RICO DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 66 , 33 , 6 584 
MA,PRESIDENTE DUTRA, R$ 183 961,35 , R$ -   , R$ 14 044,93 , 302 , 151 , 31 683 
MA,PRESIDENTE JUSCELINO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 503 
MA,PRESIDENTE MÉDICI, R$ 139 325,29 , R$ -   , R$ 10 803,91 , 53 , 27 , 5 276 
MA,PRESIDENTE SARNEY, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 146 , 73 , 14 575 
MA,PRESIDENTE VARGAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 100 , 50 , 10 031 
MA,PRIMEIRA CRUZ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 103 , 52 , 10 323 
MA,RAPOSA, R$ 108 039,06 , R$ -   , R$ 36 995,64 , 179 , 90 , 17 869 
MA,RIACHÃO, R$ 193 527,50 , R$ -   , R$ 31 053,58 , 135 , 68 , 13 526 
MA,RIBAMAR FIQUENE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 64 , 32 , 6 428 
MA,ROSÁRIO, R$ 143 305,09 , R$ -   , R$ 16 746,24 , 301 , 151 , 31 186 
MA,SAMBAÍBA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 52 , 26 , 5 223 
MA,SANTA FILOMENA DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 16 909,65 , 58 , 29 , 5 845 
MA,SANTA HELENA, R$ 142 931,39 , R$ -   , R$ 10 803,91 , 246 , 123 , 24 558 
MA,SANTA INÊS, R$ 759 620,97 , R$ -   , R$ 34 925,06 , 318 , 159 , 47 933 
MA,SANTA LUZIA, R$ 689 399,64 , R$ -   , R$ 26 486,87 , 317 , 159 , 47 392 
MA,SANTA LUZIA DO PARUÁ, R$ 217 204,84 , R$ -   , R$ 16 961,13 , 167 , 84 , 16 737 
MA,SANTA QUITÉRIA DO MARANHÃO, R$ 145 017,69 , R$ -   , R$ 10 803,91 , 208 , 104 , 20 800 
MA,SANTA RITA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 239 , 120 , 23 862 
MA,SANTANA DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 14 391,36 , 82 , 41 , 8 216 
MA,SANTO AMARO DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 99 , 50 , 9 916 
MA,SANTO ANTÔNIO DOS LOPES, R$ 211 658,30 , R$ -   , R$ 10 803,91 , 133 , 67 , 13 267 
MA,SÃO BENEDITO DO RIO PRETO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 141 , 71 , 14 104 
MA,SÃO BENTO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 243 , 122 , 24 343 
MA,SÃO BERNARDO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 208 , 104 , 20 813 
MA,SÃO DOMINGOS DO AZEITÃO, R$ 207 282,47 , R$ -   , R$ 10 803,91 , 54 , 27 , 5 409 
MA,SÃO DOMINGOS DO MARANHÃO, R$ 332 755,29 , R$ -   , R$ 29 822,07 , 274 , 137 , 27 397 
MA,SÃO FÉLIX DE BALSAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 39 , 20 , 3 910 
MA,SÃO FRANCISCO DO BREJÃO, R$ 251 066,06 , R$ -   , R$ 10 803,91 , 70 , 35 , 7 042 
MA,SÃO FRANCISCO DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 94 , 47 , 9 363 
MA,SÃO JOÃO BATISTA, R$ 108 039,06 , R$ -   , R$ 14 302,70 , 186 , 93 , 18 644 
MA,SÃO JOÃO DO CARÚ, R$ 186 797,57 , R$ -   , R$ 10 803,91 , 103 , 52 , 10 271 
MA,SÃO JOÃO DO PARAÍSO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 86 , 43 , 8 551 
MA,SÃO JOÃO DO SOTER, R$ 108 039,06 , R$ -   , R$ 20 735,85 , 124 , 62 , 12 404 
MA,SÃO JOÃO DOS PATOS, R$ 307 114,33 , R$ -   , R$ 41 815,88 , 201 , 101 , 20 126 
MA,SÃO JOSÉ DE RIBAMAR, R$ 823 354,99 , R$ -   , R$ 92 841,72 , 362 , 181 , 92 420 
MA,SÃO JOSÉ DOS BASÍLIOS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 729 
MA,SÃO LUÍS, R$ 3 142 045,97 , R$ 942 613,79 , R$ 442 586,93 , 930 , 260 , 659 779 
MA,SÃO LUÍS GONZAGA DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 184 , 92 , 18 409 
MA,SÃO MATEUS DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 21 020,58 , 300 , 150 , 30 467 
MA,SÃO PEDRO DA ÁGUA BRANCA, R$ 385 436,86 , R$ -   , R$ 10 803,91 , 92 , 46 , 9 203 
MA,SÃO PEDRO DOS CRENTES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 38 , 19 , 3 790 
MA,SÃO RAIMUNDO DAS MANGABEIRAS, R$ 277 236,40 , R$ -   , R$ 10 803,91 , 146 , 73 , 14 592 
MA,SÃO RAIMUNDO DO DOCA BEZERRA, R$ 233 206,70 , R$ -   , R$ 16 034,63 , 52 , 26 , 5 186 
MA,SÃO ROBERTO, R$ 108 039,06 , R$ -   , R$ 17 790,24 , 45 , 23 , 4 489 
MA,SÃO VICENTE FERRER, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 154 , 77 , 15 393 
MA,SATUBINHA, R$ 318 913,54 , R$ -   , R$ 10 803,91 , 56 , 28 , 5 649 
MA,SENADOR ALEXANDRE COSTA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 77 , 39 , 7 747 
MA,SENADOR LA ROCQUE, R$ 148 053,87 , R$ -   , R$ 27 972,26 , 123 , 62 , 12 270 
MA,SERRANO DO MARANHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 85 , 43 , 8 543 
MA,SÍTIO NOVO, R$ 232 350,42 , R$ -   , R$ 10 803,91 , 139 , 70 , 13 925 
MA,SUCUPIRA DO NORTE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 85 , 43 , 8 505 
MA,SUCUPIRA DO RIACHÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 387 
MA,TASSO FRAGOSO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 661 
MA,TIMBIRAS, R$ 320 411,67 , R$ -   , R$ 18 737,25 , 178 , 89 , 17 831 
MA,TIMON, R$ 1 197 588,31 , R$ -   , R$ 131 149,68 , 369 , 185 , 98 897 
MA,TRIZIDELA DO VALE, R$ 153 913,29 , R$ -   , R$ 15 744,37 , 152 , 76 , 15 171 
MA,TUFILÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 56 , 28 , 5 615 
MA,TUNTUM, R$ 698 519,95 , R$ -   , R$ 27 518,70 , 282 , 141 , 28 235 
MA,TURIAÇU, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 274 , 137 , 27 383 
MA,TURILÂNDIA, R$ 154 655,28 , R$ -   , R$ 10 803,91 , 147 , 74 , 14 655 
MA,TUTÓIA, R$ 108 039,06 , R$ -   , R$ 33 046,78 , 310 , 155 , 39 696 
MA,URBANO SANTOS, R$ 135 497,67 , R$ -   , R$ 18 726,57 , 182 , 91 , 18 180 
MA,VARGEM GRANDE, R$ 108 039,06 , R$ -   , R$ 29 278,23 , 302 , 151 , 32 013 
MA,VIANA, R$ 313 983,89 , R$ -   , R$ 10 803,91 , 302 , 151 , 31 640 
MA,VILA NOVA DOS MARTÍRIOS, R$ 155 261,82 , R$ -   , R$ 10 803,91 , 77 , 39 , 7 733 
MA,VITÓRIA DO MEARIM, R$ 133 866,91 , R$ -   , R$ 10 803,91 , 262 , 131 , 26 200 
MA,VITORINO FREIRE, R$ 215 763,15 , R$ -   , R$ 10 803,91 , 240 , 120 , 24 022 
MA,ZÉ DOCA, R$ 386 398,80 , R$ -   , R$ 27 581,43 , 303 , 152 , 33 337 
MG,ABADIA DOS DOURADOS, R$ 134 400,62 , R$ -   , R$ 10 803,91 , 58 , 29 , 5 844 
MG,ABAETÉ, R$ 177 694,97 , R$ -   , R$ 10 803,91 , 185 , 93 , 18 486 
MG,ABRE CAMPO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 101 , 51 , 10 125 
MG,ACAIACA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 36 , 18 , 3 647 
MG,AÇUCENA, R$ 209 500,71 , R$ -   , R$ 36 221,86 , 89 , 45 , 8 883 
MG,ÁGUA BOA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 124 , 62 , 12 397 
MG,ÁGUA COMPRIDA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 25 , 13 , 2 506 
MG,AGUANIL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 41 , 21 , 4 081 
MG,ÁGUAS FORMOSAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 149 , 75 , 14 949 
MG,ÁGUAS VERMELHAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 105 , 53 , 10 489 
MG,AIMORÉS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 195 , 98 , 19 519 
MG,AIURUOCA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 52 , 26 , 5 203 
MG,ALAGOA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 26 , 13 , 2 550 
MG,ALBERTINA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 27 , 14 , 2 730 
MG,ALÉM PARAÍBA, R$ 139 175,62 , R$ -   , R$ 26 592,75 , 283 , 142 , 28 302 
MG,ALFENAS, R$ 820 097,57 , R$ -   , R$ 28 196,95 , 329 , 165 , 58 576 
MG,ALFREDO VASCONCELOS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 54 , 27 , 5 441 
MG,ALMENARA, R$ 174 453,21 , R$ -   , R$ 13 950,92 , 294 , 147 , 29 369 
MG,ALPERCATA, R$ 213 188,93 , R$ -   , R$ 10 803,91 , 66 , 33 , 6 632 
MG,ALPINÓPOLIS, R$ 108 039,06 , R$ -   , R$ 18 755,71 , 153 , 77 , 15 264 
MG,ALTEROSA, R$ 179 050,44 , R$ -   , R$ 10 803,91 , 120 , 60 , 11 951 
MG,ALTO CAPARAÓ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 42 , 21 , 4 186 
MG,ALTO JEQUITIBÁ, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 70 , 35 , 7 011 
MG,ALTO RIO DOCE, R$ 176 001,70 , R$ -   , R$ 10 803,91 , 104 , 52 , 10 357 
MG,ALVARENGA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 44 , 22 , 4 430 
MG,ALVINÓPOLIS, R$ 108 039,06 , R$ -   , R$ 16 097,07 , 133 , 67 , 13 346 
MG,ALVORADA DE MINAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 43 , 22 , 4 267 
MG,AMPARO DO SERRA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 47 , 24 , 4 731 
MG,ANDRADAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 291 , 146 , 29 128 
MG,ANDRELÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 98 , 49 , 9 764 
MG,ANGELÂNDIA, R$ 189 380,87 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 746 
MG,ANTÔNIO CARLOS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 96 , 48 , 9 578 
MG,ANTÔNIO DIAS, R$ 196 959,81 , R$ -   , R$ 10 803,91 , 91 , 46 , 9 102 
MG,ANTÔNIO PRADO DE MINAS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 19 , 10 , 1 941 
